Time(ms),Raw_R,Raw_G,Raw_B,Range,V1_Norm,Peak_Diff,Calculated_BPM
1779201065766,139.36,62.35,144.99,0.00,0.000,0,0.0
1779201065795,139.34,62.39,144.95,0.00,0.000,0,0.0
1779201065825,139.42,62.52,144.98,0.00,0.000,0,0.0
1779201065863,139.48,62.71,144.98,0.00,0.000,0,0.0
1779201065895,139.57,62.91,144.99,0.00,0.000,0,0.0
1779201065929,139.56,63.12,144.97,0.00,0.000,0,0.0
1779201065965,139.66,63.35,144.98,0.00,0.000,0,0.0
1779201065996,139.74,63.54,144.98,0.00,0.000,0,0.0
1779201066025,139.77,63.67,144.98,0.00,0.000,0,0.0
1779201066063,139.78,63.78,144.97,0.00,0.000,0,0.0
1779201066091,139.78,63.88,144.94,0.00,0.000,0,0.0
1779201066130,139.80,64.02,144.93,0.00,0.000,0,0.0
1779201066159,139.86,64.13,144.95,0.00,0.000,0,0.0
1779201066194,139.85,64.24,144.90,0.00,0.000,0,0.0
1779201066228,139.83,64.03,144.96,0.00,0.000,0,0.0
1779201066258,139.62,63.23,145.02,0.00,0.000,0,0.0
1779201066292,139.36,62.47,144.98,0.00,0.000,0,0.0
1779201066326,139.28,62.10,144.99,0.00,0.000,0,0.0
1779201066365,139.27,61.99,144.99,0.00,0.000,0,0.0
1779201066394,139.28,61.90,145.02,0.00,0.000,0,0.0
1779201066431,139.22,61.75,145.01,0.00,0.000,0,0.0
1779201066461,139.21,61.66,145.00,0.00,0.000,0,0.0
1779201066497,139.24,61.70,144.99,0.00,0.000,0,0.0
1779201066528,139.28,61.74,145.02,0.00,0.000,0,0.0
1779201066565,139.23,61.73,144.99,0.00,0.000,0,0.0
1779201066602,139.21,61.68,144.98,0.00,0.000,0,0.0
1779201066624,139.23,61.77,144.97,0.00,0.000,0,0.0
1779201066693,139.31,62.06,144.96,0.00,0.000,0,0.0
1779201066737,139.40,62.35,144.97,0.00,0.000,0,0.0
1779201066762,139.48,62.56,145.00,0.00,0.000,0,0.0
1779201066837,139.52,62.87,144.96,0.00,0.000,0,0.0
1779201066872,139.60,63.05,144.99,0.00,0.000,0,0.0
1779201066904,139.66,63.21,145.01,0.00,0.000,0,0.0
1779201066924,139.70,63.36,144.98,0.00,0.000,0,0.0
1779201066956,139.74,63.50,145.00,0.00,0.000,0,0.0
1779201066996,139.79,63.70,144.98,0.00,0.000,0,0.0
1779201067025,139.80,63.87,144.95,0.00,0.000,0,0.0
1779201067063,139.87,64.02,144.97,0.00,0.000,0,0.0
1779201067094,139.79,63.77,144.98,0.00,0.000,0,0.0
1779201067136,139.51,62.83,145.03,0.00,0.000,0,0.0
1779201067165,139.23,61.91,145.00,0.00,0.000,0,0.0
1779201067197,139.16,61.46,145.01,0.00,0.000,0,0.0
1779201067233,139.11,61.32,144.98,0.00,0.000,0,0.0
1779201067265,139.09,61.25,144.97,0.00,0.000,0,0.0
1779201067298,139.05,61.11,144.98,0.00,0.000,0,0.0
1779201067329,139.04,61.02,144.99,0.00,0.000,0,0.0
1779201067396,139.08,61.12,144.99,0.00,0.000,0,0.0
1779201067432,140.21,62.11,145.39,0.00,0.000,0,0.0
1779201067505,140.25,62.17,145.42,0.00,0.000,0,0.0
1779201067534,140.28,62.32,145.41,0.00,0.000,0,0.0
1779201067563,140.35,62.56,145.42,0.00,0.000,0,0.0
1779201067640,140.47,62.95,145.41,0.00,0.000,0,0.0
1779201067664,140.49,63.18,145.42,0.00,0.000,0,0.0
1779201067703,140.55,63.35,145.43,0.00,0.000,0,0.0
1779201067724,140.52,63.46,145.40,0.00,0.000,0,0.0
1779201067764,140.58,63.58,145.42,0.00,0.000,0,0.0
1779201067796,140.63,63.70,145.44,0.00,0.000,0,0.0
1779201067835,140.65,63.88,145.42,0.00,0.000,0,0.0
1779201067870,140.70,64.08,145.42,0.00,0.000,0,0.0
1779201067893,140.71,64.27,145.41,0.00,0.000,0,0.0
1779201067937,140.72,64.38,145.39,0.00,0.000,0,0.0
1779201067964,140.62,64.14,145.40,0.00,0.000,0,0.0
1779201067994,140.35,63.21,145.43,0.00,0.000,0,0.0
1779201068031,139.50,61.71,145.26,0.00,0.000,0,0.0
1779201068074,139.47,61.35,145.27,0.00,0.000,0,0.0
1779201068088,139.39,61.29,145.15,0.00,0.000,0,0.0
1779201068190,139.94,61.59,145.42,0.00,0.000,0,0.0
1779201068207,140.06,61.66,145.44,0.00,0.000,0,0.0
1779201068270,140.18,61.77,145.53,0.00,0.000,0,0.0
1779201068309,140.25,61.82,145.60,0.00,0.000,0,0.0
1779201068337,140.13,61.80,145.49,0.00,0.000,0,0.0
1779201068362,140.12,61.85,145.46,0.00,0.000,0,0.0
1779201068397,140.15,62.00,145.45,0.00,0.000,0,0.0
1779201068437,140.21,62.19,145.46,0.00,0.000,0,0.0
1779201068473,140.25,62.40,145.44,0.00,0.000,0,0.0
1779201068493,140.34,62.60,145.47,0.00,0.000,0,0.0
1779201068528,140.39,62.81,145.47,0.00,0.000,0,0.0
1779201068559,140.47,63.02,145.48,0.00,0.000,0,0.0
1779201068596,140.50,63.16,145.47,0.00,0.000,0,0.0
1779201068633,140.50,63.29,145.44,0.00,0.000,0,0.0
1779201068669,140.51,63.41,145.44,0.00,0.000,0,0.0
1779201068697,140.53,63.55,145.45,0.00,0.000,0,0.0
1779201068727,140.57,63.75,145.44,0.00,0.000,0,0.0
1779201068759,140.63,63.97,145.43,0.00,0.000,0,0.0
1779201068791,140.70,64.16,145.44,0.00,0.000,0,0.0
1779201068825,140.64,64.04,145.42,0.00,0.000,0,0.0
1779201068861,140.44,63.24,145.47,0.00,0.000,0,0.0
1779201068892,140.19,62.35,145.45,0.00,0.000,0,0.0
1779201068929,140.08,61.87,145.46,0.00,0.000,0,0.0
1779201068960,139.98,61.75,145.41,0.00,0.000,0,0.0
1779201068994,140.02,61.76,145.42,0.00,0.000,0,0.0
1779201069029,140.04,61.74,145.44,0.00,0.000,0,0.0
1779201069066,140.04,61.76,145.43,0.00,0.000,0,0.0
1779201069091,140.06,61.76,145.46,0.00,0.000,0,0.0
1779201069123,140.04,61.84,145.42,0.00,0.000,0,0.0
1779201069159,140.07,61.89,145.42,0.00,0.000,0,0.0
1779201069200,140.06,61.84,145.43,0.00,0.000,0,0.0
1779201069226,140.09,61.87,145.45,0.00,0.000,0,0.0
1779201069261,140.10,62.04,145.42,0.00,0.000,0,0.0
1779201069293,140.13,62.23,145.39,0.00,0.000,0,0.0
1779201069328,140.23,62.43,145.42,0.00,0.000,0,0.0
1779201069360,140.30,62.66,145.42,0.00,0.000,0,0.0
1779201069405,140.34,62.84,145.42,0.00,0.000,0,0.0
1779201069423,140.37,63.04,145.42,0.00,0.000,0,0.0
1779201069475,140.41,63.19,145.43,0.00,0.000,0,0.0
1779201069496,140.44,63.31,145.43,0.00,0.000,0,0.0
1779201069527,140.46,63.44,145.42,0.00,0.000,0,0.0
1779201069564,140.51,63.64,145.42,0.00,0.000,0,0.0
1779201069593,140.56,63.82,145.42,0.00,0.000,0,0.0
1779201069623,140.62,64.02,145.41,0.00,0.000,0,0.0
1779201069661,140.58,63.89,145.43,0.00,0.000,0,0.0
1779201069693,140.33,63.12,145.44,0.00,0.000,0,0.0
1779201069735,140.12,62.28,145.44,0.00,0.000,0,0.0
1779201069759,140.03,61.83,145.44,0.00,0.000,0,0.0
1779201069794,140.05,61.74,145.45,0.00,0.000,0,0.0
1779201069826,140.06,61.77,145.44,0.00,0.000,0,0.0
1779201069863,140.03,61.74,145.43,0.00,0.000,0,0.0
1779201069898,140.04,61.70,145.44,0.00,0.000,0,0.0
1779201069935,140.07,61.75,145.44,0.00,0.000,0,0.0
1779201069957,140.07,61.81,145.45,0.00,0.000,0,0.0
1779201069993,140.06,61.79,145.43,0.00,0.000,0,0.0
1779201070023,139.99,61.79,145.40,0.00,0.000,0,0.0
1779201070074,140.03,61.83,145.42,0.00,0.000,0,0.0
1779201070092,140.09,61.98,145.42,0.00,0.000,0,0.0
1779201070130,140.16,62.17,145.43,0.00,0.000,0,0.0
1779201070167,140.19,62.43,145.39,0.00,0.000,0,0.0
1779201070191,140.24,62.68,145.39,0.00,0.000,0,0.0
1779201070223,140.34,62.88,145.41,0.00,0.000,0,0.0
1779201070256,140.37,63.06,145.40,0.00,0.000,0,0.0
1779201070291,140.38,63.27,145.38,0.00,0.000,0,0.0
1779201070326,140.42,63.39,145.39,0.00,0.000,0,0.0
1779201070357,140.46,63.56,145.39,0.00,0.000,0,0.0
1779201070415,140.49,63.73,145.38,0.00,0.000,0,0.0
1779201070427,140.53,63.94,145.38,0.00,0.000,0,0.0
1779201070468,140.62,64.11,145.40,0.00,0.000,0,0.0
1779201070494,140.67,64.15,145.44,0.00,0.000,0,0.0
1779201070522,140.48,63.57,145.43,0.00,0.000,0,0.0
1779201070563,140.21,62.54,145.46,0.00,0.000,0,0.0
1779201070599,140.08,61.95,145.45,0.00,0.000,0,0.0
1779201070633,140.03,61.69,145.47,0.00,0.000,0,0.0
1779201070658,140.04,61.64,145.48,0.00,0.000,0,0.0
1779201070695,140.00,61.62,145.45,0.00,0.000,0,0.0
1779201070737,140.04,61.56,145.46,0.00,0.000,0,0.0
1779201070758,140.06,61.57,145.47,0.00,0.000,0,0.0
1779201070836,140.13,61.75,145.48,0.00,0.000,0,0.0
1779201070861,140.13,61.78,145.48,0.00,0.000,0,0.0
1779201070896,140.12,61.82,145.47,0.00,0.000,0,0.0
1779201070934,140.16,61.91,145.48,0.00,0.000,0,0.0
1779201070973,140.21,62.10,145.46,0.00,0.000,0,0.0
1779201070998,140.26,62.29,145.46,0.00,0.000,0,0.0
1779201071033,140.33,62.51,145.46,0.00,0.000,0,0.0
1779201071063,140.38,62.75,145.45,0.00,0.000,0,0.0
1779201071099,140.46,63.00,145.46,0.00,0.000,0,0.0
1779201071137,140.52,63.17,145.47,0.00,0.000,0,0.0
1779201071161,140.55,63.26,145.49,0.00,0.000,0,0.0
1779201071205,140.55,63.35,145.48,0.00,0.000,0,0.0
